trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2743,False,"{'a': 0.002, 'e': 0.004144388617780257}",20,10,19.128578619519008,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2744,False,"{'a': 0.002, 'e': 0.0041361081237988396}",20,13,9.42642452139786,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2745,False,"{'a': 0.002, 'e': 0.004127844174255436}",20,3,26.993058903943655,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2746,False,"{'a': 0.002, 'e': 0.004119596736094233}",20,5,22.19561998653823,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2747,False,"{'a': 0.002, 'e': 0.004111365776325467}",20,6,20.28741327324515,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2748,False,"{'a': 0.002, 'e': 0.004103151262025285}",20,13,11.242050945860127,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2749,False,"{'a': 0.002, 'e': 0.004094953160335625}",30,13,28.47424517408028,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2750,False,"{'a': 0.002, 'e': 0.004086771438464067}",20,14,12.367144849961594,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2751,False,"{'a': 0.002, 'e': 0.004078606063683711}",25,20,10.113065171697983,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2752,False,"{'a': 0.002, 'e': 0.004070457003333045}",20,8,20.403610111319253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2753,False,"{'a': 0.002, 'e': 0.004062324224815823}",25,13,25.094906481600788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2754,False,"{'a': 0.002, 'e': 0.004054207695600917}",25,12,26.270843568948433,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2755,False,"{'a': 0.002, 'e': 0.004046107383222199}",20,16,7.191734563105902,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2756,False,"{'a': 0.002, 'e': 0.004038023255278404}",30,16,26.89375714247732,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2757,False,"{'a': 0.002, 'e': 0.004029955279433019}",25,8,32.7502724247815,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2758,False,"{'a': 0.002, 'e': 0.004021903423414124}",30,16,18.930181976702894,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2759,False,"{'a': 0.002, 'e': 0.004013867655014287}",25,10,32.151929342910066,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2760,False,"{'a': 0.002, 'e': 0.004005847942090417}",20,3,26.53406971488578,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2761,False,"{'a': 0.002, 'e': 0.00399784425256366}",35,24,21.22139391440184,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2762,False,"{'a': 0.002, 'e': 0.003989856554419244}",20,10,17.65516431092012,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2763,False,"{'a': 0.002, 'e': 0.003981884815706365}",25,13,20.216018840711598,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2764,False,"{'a': 0.002, 'e': 0.003973929004538055}",25,11,27.245420149489917,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2765,False,"{'a': 0.002, 'e': 0.003965989089091065}",30,19,16.80305480138673,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2766,False,"{'a': 0.002, 'e': 0.003958065037605719}",20,13,13.369606628698328,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2767,False,"{'a': 0.002, 'e': 0.003950156818385802}",20,11,16.425909391266522,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2768,False,"{'a': 0.002, 'e': 0.003942264399798421}",25,11,23.642219890484686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2769,False,"{'a': 0.002, 'e': 0.003934387750273899}",30,14,29.166075016718814,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2770,False,"{'a': 0.002, 'e': 0.003926526838305624}",20,0,33.35910002044643,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2771,False,"{'a': 0.002, 'e': 0.003918681632449937}",25,15,14.71519929704457,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2772,False,"{'a': 0.002, 'e': 0.0039108521013260025}",25,17,11.658018573157392,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2773,False,"{'a': 0.002, 'e': 0.003903038213615691}",20,13,12.581881560594452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2774,False,"{'a': 0.002, 'e': 0.0038952399380634377}",25,7,33.25390009992557,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2775,False,"{'a': 0.002, 'e': 0.0038874572434761303}",20,14,11.235110729073883,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2776,False,"{'a': 0.002, 'e': 0.0038796900987229767}",20,8,21.913089243750544,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2777,False,"{'a': 0.002, 'e': 0.0038719384727353943}",20,7,19.977807020883777,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2778,False,"{'a': 0.002, 'e': 0.0038642023345068655}",20,14,8.600224342946667,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2779,False,"{'a': 0.002, 'e': 0.003856481653092827}",30,16,10.600809938341209,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2780,False,"{'a': 0.002, 'e': 0.0038487763976105395}",25,16,12.752614938207506,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2781,False,"{'a': 0.002, 'e': 0.0038410865372389773}",35,15,39.5711292924438,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2782,False,"{'a': 0.002, 'e': 0.0038334120412186856}",30,10,35.759607181953974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2783,False,"{'a': 0.002, 'e': 0.0038257528788516702}",20,9,21.091790755128436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2784,False,"{'a': 0.002, 'e': 0.0038181090195012674}",20,12,14.02066288281278,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2785,False,"{'a': 0.002, 'e': 0.003810480432592037}",25,13,18.995076006525345,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2786,False,"{'a': 0.002, 'e': 0.003802867087609618}",25,4,38.63919516134396,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2787,False,"{'a': 0.002, 'e': 0.0037952689541006193}",20,11,18.34663672458029,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2788,False,"{'a': 0.002, 'e': 0.0037876860016724944}",20,12,15.99847581022064,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2789,False,"{'a': 0.002, 'e': 0.0037801181999934296}",25,15,16.300160532374406,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2790,False,"{'a': 0.002, 'e': 0.0037725655187922052}",20,9,16.741958497039697,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2791,False,"{'a': 0.002, 'e': 0.0037650279278580857}",30,15,27.445810889541008,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2792,False,"{'a': 0.002, 'e': 0.0037575053970406946}",30,19,20.88869158139097,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2793,False,"{'a': 0.002, 'e': 0.003749997896249905}",25,0,40.7834713354014,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2794,False,"{'a': 0.002, 'e': 0.0037425053954557004}",30,7,40.52100132209677,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2795,False,"{'a': 0.002, 'e': 0.0037350278646880674}",20,16,7.696466472150391,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2796,False,"{'a': 0.002, 'e': 0.00372756527403687}",20,13,0.9453577018559087,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2797,False,"{'a': 0.002, 'e': 0.003720117593651742}",20,14,13.0242630810821,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2798,False,"{'a': 0.002, 'e': 0.0037126847937419493}",25,9,24.33625460907503,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2799,False,"{'a': 0.002, 'e': 0.0037052668445762813}",30,14,25.70234953136745,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2800,False,"{'a': 0.002, 'e': 0.003697863716482929}",25,15,22.22339165683817,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2801,False,"{'a': 0.002, 'e': 0.0036904753798493763}",20,3,22.69905289960154,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2802,False,"{'a': 0.002, 'e': 0.0036831018051222634}",20,13,15.765887117452708,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2803,False,"{'a': 0.002, 'e': 0.003675742962807282}",25,11,26.5839050408479,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2804,False,"{'a': 0.002, 'e': 0.0036683988234690493}",25,13,20.989275278709425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2805,False,"{'a': 0.002, 'e': 0.0036610693577310053}",20,14,11.484780242870576,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2806,False,"{'a': 0.002, 'e': 0.0036537545362752733}",20,2,24.07515164171375,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
